"","Paises/Entidades","Tipo de conflicto","Numero del proceso","Nombre del proceso","Region","Id del acuerdo","Nombre del acuerdo","Fecha","Definicion y estado","Tipo de conflicto2","Fase del acuerdo","Grupo infancia","Grupo discapacitados","Grupo ancianos","Grupo migrantes","Grupo racial","Grupo religion","Grupo indigenas","Grupo otros","Grupo refugiados","Grupo social","Estado - autodeterminacion","Estado - referendum","Estado - secesion","Estado - unificacion","Estado - fronteras","Constitucion reforma o creacion","Elecciones","Reparto de territorios","Reparto economico","Reparto militar","Igualdad de genero","Democracia","Derechos civiles","Derechos socioeconomicos","Desarrollo","Medio ambiente","Seguridad","Alto el fuego","Corrupcion","Crimer organizado","Terrorismo","Justicia","Grupo infancia bin","Grupo discapacitados bin","Grupo ancianos bin","Grupo migrantes bin","Grupo racial bin","Grupo religion bin","Grupo indigenas bin","Grupo otros bin","Grupo refugiados bin","Grupo social bin","Constitucion reforma o creacion bin","Elecciones bin","Reparto de territorios bin","Reparto economico bin","Reparto militar bin","Igualdad de genero bin","Democracia bin","Desarrollo bin","Alto el fuego bin","Corrupcion bin","Crimer organizado bin","Justicia bin","PAISES"
"302","China/India","Territory",25,"China-India border dispute peace process","Asia and Pacific",286,"Agreement on the Maintenance of Peace and Tranquility along the Line of Actual Control in the India-China Border Areas",1993-09-07,"Multiparty signed/agreed","Inter","Pre",0,0,0,0,0,0,0,0,0,0,"0","0","0","0","0",0,0,0,0,0,0,0,"0","0",0,"0","1",1,0,0,"0",0,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","CHN IND"
"303","China/Japan/North Korea/Russia/South Korea/United States of America","Territory",84,"North Korea - South Korea interstate process","Cross-regional",2074,"Text of Joint Statement",2005-09-29,"Multiparty signed/agreed","Inter","SubPar",0,0,0,0,0,0,0,0,0,0,"0","0","0","0","0",0,0,0,0,0,0,0,"0","0",2,"0","1",0,0,0,"0",0,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","CHN JPN KOR PRK RUS USA"
"304","China/Kazakhstan/Kyrgyzstan/Russia/Tajikistan","Territory",19,"Russia-China-Central Asian borders interstate process","Cross-regional",531,"Agreement between Russian Federation, Republic of Kazakstan, Kyrgyz Republic, Republic of Tajikistan and People's Republic of China on Confidence Building in the Military Field in the Border Area",1996-04-26,"Multiparty signed/agreed","Inter","SubPar",0,0,0,0,0,0,0,0,0,0,"0","0","0","0","0",0,0,0,0,0,0,0,"0","0",0,"1","1",0,0,0,"0",0,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","CHN KAZ KGZ RUS TJK"
"305","China/Kazakhstan/Russia","Territory",19,"Russia-China-Central Asian borders interstate process","Cross-regional",1811,"The agreement between the Russian Federation, Republic of Kazakhstan, and the People's Republic of China on determining the junction point of the international borders of the three states",1999-05-05,"Multiparty signed/agreed","Inter","SubPar",0,0,0,0,0,0,0,0,0,0,"0","0","0","0","1",0,0,0,0,0,0,0,"0","0",0,"0","0",0,0,0,"0",0,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","CHN KAZ RUS"
"306","China/Mongolia/Russia","Territory",19,"Russia-China-Central Asian borders interstate process","Cross-regional",1807,"Protocol between the Government of the Russian Federation, the Government of Mongolia, and the Government of the People's Republic of China, describing the eastern junction point of the borders of the three states",1996-06-24,"Multiparty signed/agreed","Inter","SubPar",0,0,0,0,0,0,0,0,0,0,"0","0","0","0","1",0,0,0,0,0,0,0,"0","0",0,"0","0",0,0,0,"0",0,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","CHN MNG RUS"
"307","China/Mongolia/Russia","Territory",19,"Russia-China-Central Asian borders interstate process","Cross-regional",1808,"Protocol between the Government of the Russian Federation, the Government of Mongolia, and the Government of the People's Republic of China, describing the western junction point of the borders of the three states
",1996-06-24,"Multiparty signed/agreed","Inter","SubPar",0,0,0,0,0,0,0,0,0,0,"0","0","0","0","1",0,0,0,0,0,0,0,"0","0",0,"0","0",0,0,0,"0",0,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","CHN MNG RUS"
"308","China/Mongolia/Russia","Territory",19,"Russia-China-Central Asian borders interstate process","Cross-regional",1809,"Agreement between the Government of the Russian Federation, the Government of the People's Republic of China, and the Government of Mongolia on the determination of the points of junction of the national borders of the three states",1994-01-27,"Multiparty signed/agreed","Inter","SubPar",0,0,0,0,0,0,0,0,0,0,"0","0","0","0","1",0,0,0,0,0,0,0,"0","0",0,"0","0",0,0,0,"0",0,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","CHN MNG RUS"
"309","China/Russia","Territory",27,"China-Russia border dispute peace process","Cross-regional",1743,"Supplementary Agreement between the People 's Republic of China and the Russian Federation on the Eastern Section of the Sino-Russian Border",2004-10-14,"Multiparty signed/agreed","Inter","SubPar",0,0,0,0,0,0,0,0,0,0,"0","0","0","0","1",0,0,0,0,0,0,0,"0","0",0,"0","0",0,0,0,"0",0,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","CHN RUS"
"310","China/Russia","Territory",27,"China-Russia border dispute peace process","Cross-regional",1735,"Treaty of Good-Neighborliness and Friendly Cooperation Between the People's Republic of China and the Russian Federation",2001-07-16,"Multiparty signed/agreed","Inter","SubPar",0,0,0,0,0,0,0,0,0,0,"0","0","1","0","1",0,0,0,0,0,0,0,"0","0",0,"1","1",0,0,1,"1",0,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","CHN RUS"
"311","China/Russia","Territory",27,"China-Russia border dispute peace process","Cross-regional",1742,"Joint Declaration by the People’s Republic of China and the
Russian Federation, adopted at Beijing on 25 April 1996",1996-04-25,"Multiparty signed/agreed","Inter","Imp",0,0,0,0,1,1,0,0,0,0,"0","0","0","0","1",0,0,0,0,0,0,0,"0","0",1,"1","1",0,0,1,"1",0,"0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","CHN RUS"
"312","China/Russia","Territory",27,"China-Russia border dispute peace process","Cross-regional",1741,"Agreement on the Western Section of the Boundary Between the PRC and the Russian Federation Signed by Foreign Ministers – Andrei Kozyrev and Qian Qichen
",1994-09-03,"Multiparty signed/agreed","Inter","SubPar",0,0,0,0,0,0,0,0,0,0,"0","0","0","0","1",0,0,0,0,0,0,0,"0","0",0,"0","0",0,0,0,"0",0,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","CHN RUS"
"313","China/Russia","Territory",27,"China-Russia border dispute peace process","Cross-regional",1740,"Agreement on the Eastern Section of the Boundary between the Union of Soviet Socialist Republics and the People's Republic of China (1991 Sino-Soviet Border Agreement)",1991-05-16,"Multiparty signed/agreed","Inter","SubPar",0,0,0,0,0,0,0,0,0,0,"0","0","0","0","1",0,0,0,0,0,0,0,"0","0",0,"0","0",0,0,0,"0",0,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","CHN RUS"
